Specific Name,Record,Plant specific name,Regions,Galls,Genus,Family (from Taxonomy),Descriptions
Salix babylonica,51,babylonica,,,Salix,Salicaceae,
Salix bebbiana,55,bebbiana,,,Salix,Salicaceae,
Salix brachycarpa,59,brachycarpa,,,Salix,Salicaceae,
Salix caprea,84,caprea,,,Salix,Salicaceae,
Salix cinerea,97,cinerea,,,Salix,Salicaceae,
Salix daphnoides,120,daphnoides,,,Salix,Salicaceae,
Salix discolor,127,discolor,,,Salix,Salicaceae,
Salix eleagnos,139,eleagnos,,,Salix,Salicaceae,
Salix exigua,146,exigua,,,Salix,Salicaceae,
Salix fragilis,153,fragilis,,,Salix,Salicaceae,
Salix glauca,172,glauca,,,Salix,Salicaceae,
Salix gooddingii,176,gooddingii,,,Salix,Salicaceae,
Salix grandifolia,181,grandifolia,,,Salix,Salicaceae,
Salix groenlandica,183,groenlandica,,,Salix,Salicaceae,
Salix hastata,185,hastata,,,Salix,Salicaceae,
Salix herbacea,188,herbacea,,,Salix,Salicaceae,
Salix hookeriana,191,hookeriana,,,Salix,Salicaceae,
Salix incana,197,incana,,,Salix,Salicaceae,
Salix integra,201,integra,,,Salix,Salicaceae,
Salix interior,204,interior,,,Salix,Salicaceae,
Salix koreensis,210,koreensis,,,Salix,Salicaceae,
Salix laevigata,217,laevigata,,,Salix,Salicaceae,
Salix lanata,219,lanata,,,Salix,Salicaceae,
Salix lapponica,223,lapponica,,,Salix,Salicaceae,
Salix lapponum,224,lapponum,,,Salix,Salicaceae,
Salix livida,232,livida,,,Salix,Salicaceae,
Salix matsudana,240,matsudana,,,Salix,Salicaceae,
Salix melanopsis,243,melanopsis,,,Salix,Salicaceae,
Salix myrsinifolia,258,myrsinifolia,,,Salix,Salicaceae,
Salix myrsinites,259,myrsinites,,,Salix,Salicaceae,
Salix myrsinitis,260,myrsinitis,,,Salix,Salicaceae,
Salix myrtilloides,261,myrtilloides,,,Salix,Salicaceae,
Salix nigra,268,nigra,,,Salix,Salicaceae,
Salix nigricans,276,nigricans,,,Salix,Salicaceae,
Salix orestera,288,orestera,,,Salix,Salicaceae,
Salix pentandra,307,pentandra,,,Salix,Salicaceae,
Salix phylicifolia,309,phylicifolia,,,Salix,Salicaceae,
Salix polaris,314,polaris,,,Salix,Salicaceae,
Salix purpurea,330,purpurea,,,Salix,Salicaceae,
Salix pyrifolia,332,pyrifolia,,,Salix,Salicaceae,
Salix reticulata,341,reticulata,,,Salix,Salicaceae,
Salix retusa,342,retusa,,,Salix,Salicaceae,
Salix rosmarinifolia,348,rosmarinifolia,,,Salix,Salicaceae,
Salix rotundifolia,349,rotundifolia,,,Salix,Salicaceae,
Salix scouleriana,367,scouleriana,,,Salix,Salicaceae,
Salix starkeana,386,starkeana,,,Salix,Salicaceae,
Salix triandra,407,triandra,,,Salix,Salicaceae,
Salix viminalis,432,viminalis,,,Salix,Salicaceae,
Salix viridis,440,viridis,,,Salix,Salicaceae,
Salvia mellifera,244,mellifera,,,Salvia,Lamiaceae,
Salvia verbenaca,427,verbenaca,,,Salvia,Lamiaceae,
Sambucus caerulea,60,caerulea,,,Sambucus,Adoxaceae,
Sambucus canadensis,78,canadensis,,,Sambucus,Adoxaceae,
Sambucus nigra,270,nigra,,,Sambucus,Adoxaceae,
Sambucus racemosus,335,racemosus,,,Sambucus,Adoxaceae,
Sandoricum koetjape,518,koetjape,,Aceria sandorici,Sandoricum,Meliaceae,"42,43"
Senegalia greggii,182,greggii,,,Senegalia,Fabaceae,
Sideroxylon lanuginosum,222,lanuginosum,,,Sideroxylon,Sapotaceae,
Silphium laciniatum,212,laciniatum,,,Silphium,Asteraceae,
Solidago altissima,17,altissima,,,Solidago,Asteraceae,
Solidago bicolor,56,bicolor,,,Solidago,Asteraceae,
Solidago caesia,61,caesia,,,Solidago,Asteraceae,
Solidago californica,67,californica,,,Solidago,Asteraceae,
Solidago canadensis,81,canadensis,,,Solidago,Asteraceae,
Solidago chapmanii,94,chapmanii,,,Solidago,Asteraceae,
Solidago erecta,141,erecta,,,Solidago,Asteraceae,
Solidago fistulosa,149,fistulosa,,,Solidago,Asteraceae,
Solidago gigantea,166,gigantea,,,Solidago,Asteraceae,
Solidago juncea,208,juncea,,,Solidago,Asteraceae,
Solidago leavenworthii,227,leavenworthii,,,Solidago,Asteraceae,
Solidago missouriensis,252,missouriensis,,,Solidago,Asteraceae,
Solidago nemoralis,266,nemoralis,,,Solidago,Asteraceae,
Solidago odora,285,odora,,,Solidago,Asteraceae,
Solidago patula,301,patula,,,Solidago,Asteraceae,
Solidago rugosa,355,rugosa,,,Solidago,Asteraceae,
Solidago sempervirens,369,sempervirens,,,Solidago,Asteraceae,
Solidago spathulata,377,spathulata,,,Solidago,Asteraceae,
Solidago tortifolia,404,tortifolia,,,Solidago,Asteraceae,
Solidago uliginosa,420,uliginosa,,,Solidago,Asteraceae,
Solidago velutina,425,velutina,,,Solidago,Asteraceae,
Solidago flexicaulis,522,,,,Solidago,Asteraceae,168
Solidago macrophylla,523,,,,Solidago,Asteraceae,168
Sorbus aria,39,aria,,,Sorbus,Rosaceae,
Sorbus aucuparia,47,aucuparia,,,Sorbus,Rosaceae,
Sorbus californica,66,californica,,,Sorbus,Rosaceae,
Sorbus commixta,103,commixta,,,Sorbus,Rosaceae,
Sorbus pohuashanensis,313,pohuashanensis,,,Sorbus,Rosaceae,
Sorbus scopulina,366,scopulina,,,Sorbus,Rosaceae,
Sorbus torminalis,403,torminalis,,,Sorbus,Rosaceae,
Spiraea douglasii,135,douglasii,,,Spiraea,Rosaceae,
Spiraea splendens,383,splendens,,,Spiraea,Rosaceae,
Symphoricarpos albus,12,albus,,,Symphoricarpos,Caprifoliaceae,
Syringa vulgaris,445,vulgaris,,,Syringa,Oleaceae,
Tanacetum abrotanifolium,2,abrotanifolium,,,Tanacetum,Asteraceae,
Tanacetum parthenium,298,parthenium,,,Tanacetum,Asteraceae,
Tanacetum vulgare,444,vulgare,,,Tanacetum,Asteraceae,
Taxodium ascendens,45,ascendens,,,Taxodium,Cupressaceae,
Taxodium distichum,130,distichum,,,Taxodium,Cupressaceae,
Tilia americana,19,americana,,,Tilia,Malvaceae,
Tilia cordata,111,cordata,,,Tilia,Malvaceae,
Tilia platyphyllos,312,platyphyllos,,,Tilia,Malvaceae,
Tilia tomentosa,400,tomentosa,,,Tilia,Malvaceae,
Toxicodendron diversilobum,132,diversilobum,,,Toxicodendron,Anacardiaceae,"31,30"
Toxicodendron radicans,336,radicans,,Aculops rhois,Toxicodendron,Anacardiaceae,"31,30"
Toxicodendron vernix,428,vernix,,,Toxicodendron,Anacardiaceae,"31,30"
Tsuga canadensis,75,canadensis,,,Tsuga,Pinaceae,
Ulmus alata,8,alata,,,Ulmus,Ulmaceae,
Ulmus americana,22,americana,,,Ulmus,Ulmaceae,
Ulmus crassifolia,117,crassifolia,,,Ulmus,Ulmaceae,
Ulmus glabra,169,glabra,,,Ulmus,Ulmaceae,
Ulmus laevis,218,laevis,,,Ulmus,Ulmaceae,
Ulmus minor,251,minor,,,Ulmus,Ulmaceae,
Ulmus parvifolia,299,parvifolia,,,Ulmus,Ulmaceae,
Ulmus procera,318,procera,,,Ulmus,Ulmaceae,
Ulmus rubra,352,rubra,,,Ulmus,Ulmaceae,
Ulmus thomasii,398,thomasii,,,Ulmus,Ulmaceae,
Urtica dioica,125,dioica,,,Urtica,Urticaceae,
Vaccinium angustifolium,33,angustifolium,,,Vaccinium,Ericaceae,
Vaccinium canadense,73,canadense,,,Vaccinium,Ericaceae,
Vaccinium corymbosum,116,corymbosum,,,Vaccinium,Ericaceae,
Vaccinium pennsylvanicum,304,pennsylvanicum,,,Vaccinium,Ericaceae,
Vaccinium stamineum,385,stamineum,,,Vaccinium,Ericaceae,
Vernonia baldwini,52,baldwini,,,Vernonia,Asteraceae,
Vernonia gigantea,165,gigantea,,,Vernonia,Asteraceae,
Vernonia novaboracensis,278,novaboracensis,,,Vernonia,Asteraceae,
Viburnum dentatum,124,dentatum,,,Viburnum,Adoxaceae,
Viburnum lantana,221,lantana,,,Viburnum,Adoxaceae,
Viburnum opulus,287,opulus,,,Viburnum,Adoxaceae,
Viburnum rafinesquianum,337,rafinesquianum,,,Viburnum,Adoxaceae,
Vitis aestivalis,5,aestivalis,,,Vitis,Vitaceae,
Vitis labrusca,211,labrusca,,,Vitis,Vitaceae,
Vitis riparia,347,riparia,,,Vitis,Vitaceae,
Vitis vinifera,433,vinifera,,,Vitis,Vitaceae,
Vitis vulpina,448,vulpina,,,Vitis,Vitaceae,
Zelkova serrata,372,serrata,,,Zelkova,Ulmaceae,
