Title,Record,Author,Year of publication,Hyperlink,Citation (MLA),Source Contents
"Current state of knowledge of heterogony in Cynipidae (Hymenoptera, Cynipoidea)",35,"J Pujade-Villar,D Bellido,G Segu,G Melika",1999,https://www.researchgate.net/profile/J_Pujade-Villar/publication/39095093_Current_state_of_knowledge_of_heterogony_in_Cynipidae_Hymenoptera_Cynipoidea/links/02e7e53b6c35e8cc3d000000.pdf,"Melika, George, et al. ""Current state of knowledge of heterogony in Cynipidae (Hymenoptera, Cynipoidea)."" Sessió Conjunta d'Entomologia (2001): 87-107.",141
Insect Galls of Ontario,36,TD Jarvis,1906,https://www.biodiversitylibrary.org/page/40931581#page/308/mode/1up,"Jarvis, T. D. ""Insect Galls of Ontario."" Rep. Ent. Soc. Ont 37 (1906): 56-72.",144
Insects affecting park and woodland trees,37,EP Felt,1906,https://www.biodiversitylibrary.org/page/58122706#page/5/mode/1up,"Felt, Ephraim Porter. Insects affecting park and woodland trees. New York state education department, 1906.",145
A catalogue of the gall insects of Ontario,38,TD Jarvis,1909,https://www.biodiversitylibrary.org/page/27900549#page/502/mode/1up,"Jarvis, T. ""A catalogue of the gall insects of Ontario."" Thirty-Ninth Annual Report of the Entomological Society of Ontario 1908 (1909): 70-98.",146
Insect-galls of the vicinity of New York City,39,William Beutenmuller,1904,https://www.biodiversitylibrary.org/page/12267172#page/241/mode/1up,"Beutenmüller, Willliam. ""insect-galls of the vicinity of New York City."" (1904).",147
Insect galls of Cedar Point and vicinity,40,PB Sears,1914,https://www.biodiversitylibrary.org/page/50337404#page/455/mode/1up,"Sears, Paul B. ""The insect galls of Cedar Point and vicinity."" (1914).",148
Life histories of American Cynipidae,41,Charles Alfred Kinsey,1920,https://www.biodiversitylibrary.org/item/213997#page/1/mode/1up,"Kinsey, Alfred Charles. Life histories of American Cynipidae. American Museum of Natural History, 1920.",149
Eastern forest insects,42,WL Baker,1972,https://www.biodiversitylibrary.org/item/132738#page/7/mode/1up,"Baker, Whiteford Lee. Eastern forest insects. Vol. 1166. US Forest Service, 1972.",150
"Identification of hardwood insects by type of tree injury, North-Central Region",43,"HJ MacAloney,HG Ewan",1964,https://www.biodiversitylibrary.org/item/159223#page/3/mode/1up,"MacAloney, Harvey John, and Herbert George Ewan. Identification of hardwood insects by type of tree injury, North-Central Region. Vol. 11. Lake States Forest Experiment Station, 1964.",151
Insect enemies of Eastern Forests,44,FC Craighead,1950,https://www.biodiversitylibrary.org/item/132361#page/7/mode/1up,"Craighead, Frank Cooper, ed. Insect enemies of eastern forests. No. 657. US Government Printing Office, 1950.",
American gallflies of the family Cynipidae producing subterranean galls on oak,45,LH Weld,1921,https://www.biodiversitylibrary.org/page/7562993#page/241/mode/1up,"Weld, Lewis Hart. American gallflies of the family Cynipidae producing subterranean galls on oak. Vol. 59. US Government Printing Office, 1921.",155
Descriptions of new Cynipidae (1917),46,William Beutenmuller,1917,https://www.biodiversitylibrary.org/page/28154038#page/831/mode/1up,"Beutenmuller, Wm. ""Descriptions of new Cynipidae."" The Canadian Entomologist 49.10 (1917): 345-349.",158
Two New Cynipidae,47,William Beutenmuller,1918,https://www.biodiversitylibrary.org/item/95656#page/168/mode/1up,,162
Hymenoptera of American north of Mexico: Synoptic catalog (1951),48,"Karl Krombein,CF Muesebeck,Henry Townes",1951,https://www.biodiversitylibrary.org/page/41966767#page/9/mode/1up,,"164,184"
The plant-feeding gall midges of North America,49,Raymond J. Gagne,1989,,"Gagné, Raymond J. The plant-feeding gall midges of North America. Comstock Pub. Associates, 1989.","166,167,168"
The Gall Wasp Genus Cynips,50,Charles Alfred Kinsey,1929,https://www.biodiversitylibrary.org/page/53516882#page/7/mode/1up,"Kinsey, Alfred C. ""The gall wasp genus Cynips."" A study in the origin of species. Indiana University Studies 16.84-86 (1930): 1-577.",181
